,HITId,AssignmentId,WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Input.prompt,Input.response,Input.aspect,Input.definition,Input.setting,Answer.Others,Approve,Reject,Score,3Score
10,3G4VVJO6QBXHMXWSSU6N1XAKU4HPKC,39U1BHVTDY8C5BFME7SAE5Q4W39T3D,A9HQ3E0F2AGVO,454,100% (273/273),Write a <b>formal</b> passage about love:,"Love is a feeling that is often described as a strong affection towards someone. It is often associated with strong feelings of happiness, joy, passion, and desire. Love can also be described as a feeling of caring and protection towards someone.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,2,1
11,3G4VVJO6QBXHMXWSSU6N1XAKU4HPKC,39L1G8WVW38BWR3DCO808Z794KI13C,AKQAI78JTXXC9,127,100% (240/240),Write a <b>formal</b> passage about love:,"Love is a feeling that is often described as a strong affection towards someone. It is often associated with strong feelings of happiness, joy, passion, and desire. Love can also be described as a feeling of caring and protection towards someone.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,2,1
12,3IZPORCT2RQBWKBZZ17FT0U7351HRS,308XBLVESVL4SR67PB2LW9NYWAPRBP,A2Y2AZ8DBFU47Q,63,91% (32/35),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can cause people to do things that they never thought possible. Love can make people happy, sad, angry, and everything in between.<br><br>Love is something that should be cherished and treasured. It is a special bond that two people share and should be treated with care. Love is something that can make a person's life complete.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,no,,,2,1
13,3IZPORCT2RQBWKBZZ17FT0U7351HRS,378XPAWRUPUMGIYWTA8GN621RWLIAH,A31P3ZS4NETEA5,25,100% (17/17),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can cause people to do things that they never thought possible. Love can make people happy, sad, angry, and everything in between.<br><br>Love is something that should be cherished and treasured. It is a special bond that two people share and should be treated with care. Love is something that can make a person's life complete.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,1,1
14,3IZPORCT2RQBWKBZZ17FT0U7351HRS,3MMN5BL1WCL8SGP25ARYSRVC2VDM35,AKQAI78JTXXC9,211,100% (240/240),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can cause people to do things that they never thought possible. Love can make people happy, sad, angry, and everything in between.<br><br>Love is something that should be cherished and treasured. It is a special bond that two people share and should be treated with care. Love is something that can make a person's life complete.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,0,0
15,3VGET1QS0CGJBRM9LMV9PMDUHHK7WJ,34J10VATJSFE3Y5DI652D6H6VE7IQO,A2Y2AZ8DBFU47Q,30,91% (32/35),Write a <b>formal</b> passage about love:,"Love is a feeling of strong attachment or admiration and caring for someone or something. It can also be described as a strong passion or desire. Love is often seen as a good thing, something that makes people happy and can even lead to lasting relationships.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,no,,,2,1
16,3VGET1QS0CGJBRM9LMV9PMDUHHK7WJ,3TOK3KHVJ6ZET2B1K291XCWX2XF7OB,A3PUUVUDORJS8W,6,100% (20/20),Write a <b>formal</b> passage about love:,"Love is a feeling of strong attachment or admiration and caring for someone or something. It can also be described as a strong passion or desire. Love is often seen as a good thing, something that makes people happy and can even lead to lasting relationships.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,2,1
17,3VGET1QS0CGJBRM9LMV9PMDUHHK7WJ,37TD41K0AUQZ3BYQI0YLX3YC0X8CS5,AKQAI78JTXXC9,211,100% (240/240),Write a <b>formal</b> passage about love:,"Love is a feeling of strong attachment or admiration and caring for someone or something. It can also be described as a strong passion or desire. Love is often seen as a good thing, something that makes people happy and can even lead to lasting relationships.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,2,1
18,3IVKZBIBKCQNXZBCEQ7KJAZ3P7KHSG,3DY46V3X32ZDYOR0RUY5QMIAUWF55P,A3PUUVUDORJS8W,7,100% (20/20),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can make you feel happy, sad, scared, and everything in between. Love is something that you can't help but feel, and it's something that can stay with you for a lifetime. Love is something that you should never take for granted, because it's the best thing that you can ever have in your life.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,1,1
19,3IVKZBIBKCQNXZBCEQ7KJAZ3P7KHSG,3KJYX6QCMMS23HL0MNKCVUVEPLBVJ7,A9HQ3E0F2AGVO,432,100% (273/273),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can make you feel happy, sad, scared, and everything in between. Love is something that you can't help but feel, and it's something that can stay with you for a lifetime. Love is something that you should never take for granted, because it's the best thing that you can ever have in your life.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,1,1
20,3IVKZBIBKCQNXZBCEQ7KJAZ3P7KHSG,3QBD8R3Z2E0HAFTII4BUU0CNBVOO47,AKQAI78JTXXC9,216,100% (240/240),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can make you feel happy, sad, scared, and everything in between. Love is something that you can't help but feel, and it's something that can stay with you for a lifetime. Love is something that you should never take for granted, because it's the best thing that you can ever have in your life.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,0,0
21,3TUOHPJXZTEDQ6S03ZZ7JLQIJAZWX3,3Y4W8Q93LC1P0VL8CRY1SW01K1EDVB,A2Y2AZ8DBFU47Q,38,91% (32/35),Write a <b>formal</b> passage about love:,"Love is one of the most amazing and inexplicable emotions that we as humans can experience. It can make us feel happy and complete, but it can also cause us pain and suffering. Love is something that we all crave and desire, and it is something that can never be fully understood. But that doesn't mean that we shouldn't try to understand it. Love is worth the effort.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,no,,,2,1
22,3TUOHPJXZTEDQ6S03ZZ7JLQIJAZWX3,3DZQRBDBSYWBQB27P7NK40UIUKVS3N,A3PUUVUDORJS8W,14,100% (20/20),Write a <b>formal</b> passage about love:,"Love is one of the most amazing and inexplicable emotions that we as humans can experience. It can make us feel happy and complete, but it can also cause us pain and suffering. Love is something that we all crave and desire, and it is something that can never be fully understood. But that doesn't mean that we shouldn't try to understand it. Love is worth the effort.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,-1,-1
23,3TUOHPJXZTEDQ6S03ZZ7JLQIJAZWX3,3UJ1CZ6IZU6E4QPB3QBDJXS28GM5SQ,AKQAI78JTXXC9,80,100% (240/240),Write a <b>formal</b> passage about love:,"Love is one of the most amazing and inexplicable emotions that we as humans can experience. It can make us feel happy and complete, but it can also cause us pain and suffering. Love is something that we all crave and desire, and it is something that can never be fully understood. But that doesn't mean that we shouldn't try to understand it. Love is worth the effort.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,1,1
24,3B9J25CZ3HUWGR0WSYTJ8J2NCFFCS2,3Y54SXRO1Y2W45S5TROB1EG49GTUTM,A3PUUVUDORJS8W,7,100% (20/20),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that humans can feel. It can cause people to do things that they never thought possible. Love can make people happy, but it can also cause them a lot of pain.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,1,1
25,3B9J25CZ3HUWGR0WSYTJ8J2NCFFCS2,3SEPORI8W0G8B8N6TEW2N15RN9OAZ7,A9HQ3E0F2AGVO,430,100% (273/273),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that humans can feel. It can cause people to do things that they never thought possible. Love can make people happy, but it can also cause them a lot of pain.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,1,1
26,3B9J25CZ3HUWGR0WSYTJ8J2NCFFCS2,3ZR9AIQJUOQW7Y1ZGJ9J4ZG5DS840X,AKQAI78JTXXC9,216,100% (240/240),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that humans can feel. It can cause people to do things that they never thought possible. Love can make people happy, but it can also cause them a lot of pain.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,-1,-1
27,3GL25Y685FBHLUYMZXTKANORL8LMX2,3ZPBJO59K2IKIUQO72HXDV9SCM3DHL,A2HM35CWB7IIFM,31,100% (414/414),Write a <b>formal</b> passage about love:,"Love is a feeling of strong attachment or admiration and caring for someone or something. It can also be described as a strong liking or fondness for someone. When you love someone, you have a strong desire to spend time with that person and to protect and care for them. You also have strong feelings of happiness and joy when you are around them.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,no failurres,,,2,1
28,3GL25Y685FBHLUYMZXTKANORL8LMX2,3JZQSN0I33R3GI99E2U5GV0C9Z6FGZ,A2Y2AZ8DBFU47Q,47,91% (32/35),Write a <b>formal</b> passage about love:,"Love is a feeling of strong attachment or admiration and caring for someone or something. It can also be described as a strong liking or fondness for someone. When you love someone, you have a strong desire to spend time with that person and to protect and care for them. You also have strong feelings of happiness and joy when you are around them.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,no,,,2,1
29,3GL25Y685FBHLUYMZXTKANORL8LMX2,3Z4GS9HPN8R78WJ23GSZMQA2C8477K,AKQAI78JTXXC9,208,100% (240/240),Write a <b>formal</b> passage about love:,"Love is a feeling of strong attachment or admiration and caring for someone or something. It can also be described as a strong liking or fondness for someone. When you love someone, you have a strong desire to spend time with that person and to protect and care for them. You also have strong feelings of happiness and joy when you are around them.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,2,1
30,374UMBUHOH6XVRDBHYY9IOY9EYTCTR,3ATPCQ38JLR86ID1XSUJ9UWPHFJYA3,A31P3ZS4NETEA5,16,100% (17/17),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, scared, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can never be fully understood. Love is something that you just have to feel for yourself.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,no,,,1,1
31,374UMBUHOH6XVRDBHYY9IOY9EYTCTR,30LB5CDZNPRCAVPO1CZ9YVTEENC0Z6,A3PUUVUDORJS8W,6,100% (20/20),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, scared, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can never be fully understood. Love is something that you just have to feel for yourself.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,1,1
32,374UMBUHOH6XVRDBHYY9IOY9EYTCTR,3R0T90IZ15TWD6PZN0448PF9CMEGCP,AKQAI78JTXXC9,128,100% (240/240),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, scared, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can never be fully understood. Love is something that you just have to feel for yourself.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,1,1
33,3EQVJH0T5C2OCZOR3QCATFVPRQYHT5,3JAOYWH7VVLA10WXM7RTJRJ92IX9L7,A2Y2AZ8DBFU47Q,36,91% (32/35),Write an <b>informal</b> passage about love:,"Love is something that you feel deep in your heart. It's a strong emotion that can make you feel happy, sad, scared, or even angry. But most of all, love is something that makes you feel alive. When you're in love, you feel like you can do anything. You feel like you're on top of the world. Love is something that you just can't explain.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,no,,,2,1
34,3EQVJH0T5C2OCZOR3QCATFVPRQYHT5,3ZDAD0O1TEUOL9M0YWZYLLF83YATXD,A31P3ZS4NETEA5,21,100% (17/17),Write an <b>informal</b> passage about love:,"Love is something that you feel deep in your heart. It's a strong emotion that can make you feel happy, sad, scared, or even angry. But most of all, love is something that makes you feel alive. When you're in love, you feel like you can do anything. You feel like you're on top of the world. Love is something that you just can't explain.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,no,,,0,0
35,3EQVJH0T5C2OCZOR3QCATFVPRQYHT5,3IRIK4HM3N1UGD0TBNVIWY2KI8B6CD,AKQAI78JTXXC9,144,100% (240/240),Write an <b>informal</b> passage about love:,"Love is something that you feel deep in your heart. It's a strong emotion that can make you feel happy, sad, scared, or even angry. But most of all, love is something that makes you feel alive. When you're in love, you feel like you can do anything. You feel like you're on top of the world. Love is something that you just can't explain.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,1,1
36,3ZXV7Q5FKN5NCMVAMETK1KJ8NPLFCM,33SA9F9TRAB77QZDYWEHKG10RMHWEX,A2Y2AZ8DBFU47Q,22,91% (32/35),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, excited, and everything in between. Love is something that you can't explain, but you know when you feel it. It's something that makes you want to be a better person. Love is worth fighting for, and it's worth everything.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,no,,,2,1
37,3ZXV7Q5FKN5NCMVAMETK1KJ8NPLFCM,3SB4CE2TJ8CJ6DNRSW8HQGPGF9PXAW,A31P3ZS4NETEA5,24,100% (17/17),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, excited, and everything in between. Love is something that you can't explain, but you know when you feel it. It's something that makes you want to be a better person. Love is worth fighting for, and it's worth everything.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,no,,,2,1
38,3ZXV7Q5FKN5NCMVAMETK1KJ8NPLFCM,384PI804X5IF9J3A6K5122WBR8B0S0,AKQAI78JTXXC9,119,100% (240/240),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, excited, and everything in between. Love is something that you can't explain, but you know when you feel it. It's something that makes you want to be a better person. Love is worth fighting for, and it's worth everything.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,0,0
39,3LN50BUKQ7SS63EADUIOGXNZJ4MPLF,3GNA64GUZRL2RAAYBMM8OXD1QS25Q2,A3PUUVUDORJS8W,7,100% (20/20),Write an <b>informal</b> passage about love:,"Love is one of the most amazing and wonderful things in the world. It can make you feel happy, sad, excited, and everything in between. Love is something that you can't really explain, you just know it when you feel it.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,1,1
40,3LN50BUKQ7SS63EADUIOGXNZJ4MPLF,3S0TNUHWK6ZRPJPV4YNR0IGT93E8D2,A9HQ3E0F2AGVO,456,100% (273/273),Write an <b>informal</b> passage about love:,"Love is one of the most amazing and wonderful things in the world. It can make you feel happy, sad, excited, and everything in between. Love is something that you can't really explain, you just know it when you feel it.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,1,1
41,3LN50BUKQ7SS63EADUIOGXNZJ4MPLF,3BDCF01OGABP2145UJJ9I8C0BRHYLK,AKQAI78JTXXC9,41,100% (240/240),Write an <b>informal</b> passage about love:,"Love is one of the most amazing and wonderful things in the world. It can make you feel happy, sad, excited, and everything in between. Love is something that you can't really explain, you just know it when you feel it.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,1,1
42,3OB6JN3AA26XOYCAQYNSL523KR0RMB,3VFJCI1K4CG0J8EI5XUZXKEVCNHGRV,A2Y2AZ8DBFU47Q,36,91% (32/35),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, excited, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can never be fully explained. Love is something that you just have to feel to understand.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,no,,,2,1
43,3OB6JN3AA26XOYCAQYNSL523KR0RMB,3UXUOQ9OKREPRYH0AJ4JWHCSDGBA7F,A9HQ3E0F2AGVO,431,100% (273/273),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, excited, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can never be fully explained. Love is something that you just have to feel to understand.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,2,1
44,3OB6JN3AA26XOYCAQYNSL523KR0RMB,3BV8HQ2ZZ9I6NY3VR9ZRQ3CWI5Q6AB,AKQAI78JTXXC9,136,100% (240/240),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, excited, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can never be fully explained. Love is something that you just have to feel to understand.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,0,0
45,3BC9H1KCZ6T2QBIA8VL92ZXRLGTWY9,36PW28KO4CDA0DWAXRIP2R49Z3EEA4,A2Y2AZ8DBFU47Q,81,91% (32/35),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, excited, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can never be fully explained. When you're in love, you just know it. And that's what makes it so special.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,no,,,1,1
46,3BC9H1KCZ6T2QBIA8VL92ZXRLGTWY9,3KWTYT087DKR0DULJHEC7BE7GMF5LD,A3PUUVUDORJS8W,7,100% (20/20),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, excited, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can never be fully explained. When you're in love, you just know it. And that's what makes it so special.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,-1,-1
47,3BC9H1KCZ6T2QBIA8VL92ZXRLGTWY9,3X3OR7WPZCHANVDNHFLFJVOYICFL8U,AKQAI78JTXXC9,155,100% (240/240),Write an <b>informal</b> passage about love:,"Love is one of the most amazing things in the world. It can make you feel happy, sad, excited, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can never be fully explained. When you're in love, you just know it. And that's what makes it so special.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,1,1
48,3YGYP1365DQ36GXA2Z2SYKR3PHARNB,3DPNQGW4LYWRL9NEI8P0D0QWQVU46Y,A31P3ZS4NETEA5,32,100% (17/17),Write an <b>informal</b> passage about love:,"Love is one of the most amazing and wonderful things in the world. It can make you feel happy, sad, excited, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can change your life completely. When you're in love, you can't imagine your life without the person you're in love with. You want to be with them all the time, and you can't stand the thought of being apart. Love is something that you just feel, and it's one of the best things in the world.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,None,,,2,1
49,3YGYP1365DQ36GXA2Z2SYKR3PHARNB,39N5ACM9HR40SLBVEZK008ST7SYP9L,A3PUUVUDORJS8W,17,100% (20/20),Write an <b>informal</b> passage about love:,"Love is one of the most amazing and wonderful things in the world. It can make you feel happy, sad, excited, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can change your life completely. When you're in love, you can't imagine your life without the person you're in love with. You want to be with them all the time, and you can't stand the thought of being apart. Love is something that you just feel, and it's one of the best things in the world.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,1,1
50,3YGYP1365DQ36GXA2Z2SYKR3PHARNB,3300DTYQTFY2NT3RMNFBSRJE3L0EQB,AKQAI78JTXXC9,213,100% (240/240),Write an <b>informal</b> passage about love:,"Love is one of the most amazing and wonderful things in the world. It can make you feel happy, sad, excited, and everything in between. It's something that everyone experiences at some point in their life, and it's something that can change your life completely. When you're in love, you can't imagine your life without the person you're in love with. You want to be with them all the time, and you can't stand the thought of being apart. Love is something that you just feel, and it's one of the best things in the world.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,2,1
51,32FESTC2OT7CV4S0H3OJNKKBXC0CUI,3QILPRALQIC0BVG8TS1UWNSNN7FN8Y,A31P3ZS4NETEA5,29,100% (17/17),Write an <b>informal</b> passage about love:,"When you're in love, you can't help but feel happy all the time. You feel like you're walking on air, and nothing can bring you down. You're always thinking about the person you love, and you can't wait to see them again. Love is the best feeling in the world, and I wouldn't trade it for anything.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,no,,,0,0
52,32FESTC2OT7CV4S0H3OJNKKBXC0CUI,3PQ8K71NHA17A0FYHMG368EIEOHAA6,A9HQ3E0F2AGVO,432,100% (273/273),Write an <b>informal</b> passage about love:,"When you're in love, you can't help but feel happy all the time. You feel like you're walking on air, and nothing can bring you down. You're always thinking about the person you love, and you can't wait to see them again. Love is the best feeling in the world, and I wouldn't trade it for anything.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,1,1
53,32FESTC2OT7CV4S0H3OJNKKBXC0CUI,3IAEQB9FMR12FKLD213XEYJFRAGDWL,AKQAI78JTXXC9,177,100% (240/240),Write an <b>informal</b> passage about love:,"When you're in love, you can't help but feel happy all the time. You feel like you're walking on air, and nothing can bring you down. You're always thinking about the person you love, and you can't wait to see them again. Love is the best feeling in the world, and I wouldn't trade it for anything.",Tone,informal tone: An informal tone is a relaxed and friendly way of speaking or writing.,Basic,,,,2,1
